"Attack_rate","Target_doses","Dose_split","PD2","Boost_interval","Dose2_rel_boost","Vacc_waning","Delivery"
1e-04,0.05,1,0.65,28,1,180,1
1e-04,0.05,1,0.65,28,1,180,2
1e-04,0.05,1,0.65,28,1,180,3
1e-04,0.05,1,0.65,28,1,360,1
1e-04,0.05,1,0.65,28,1,360,2
1e-04,0.05,1,0.65,28,1,360,3
1e-04,0.05,1,0.65,28,1,540,1
1e-04,0.05,1,0.65,28,1,540,2
1e-04,0.05,1,0.65,28,1,540,3
1e-04,0.05,1,0.65,28,0.75,180,1
1e-04,0.05,1,0.65,28,0.75,180,2
1e-04,0.05,1,0.65,28,0.75,180,3
1e-04,0.05,1,0.65,28,0.75,360,1
1e-04,0.05,1,0.65,28,0.75,360,2
1e-04,0.05,1,0.65,28,0.75,360,3
1e-04,0.05,1,0.65,28,0.75,540,1
1e-04,0.05,1,0.65,28,0.75,540,2
1e-04,0.05,1,0.65,28,0.75,540,3
1e-04,0.05,1,0.65,28,0.5,180,1
1e-04,0.05,1,0.65,28,0.5,180,2
1e-04,0.05,1,0.65,28,0.5,180,3
1e-04,0.05,1,0.65,28,0.5,360,1
1e-04,0.05,1,0.65,28,0.5,360,2
1e-04,0.05,1,0.65,28,0.5,360,3
1e-04,0.05,1,0.65,28,0.5,540,1
1e-04,0.05,1,0.65,28,0.5,540,2
1e-04,0.05,1,0.65,28,0.5,540,3
1e-04,0.05,1,0.65,49,1,180,1
1e-04,0.05,1,0.65,49,1,180,2
1e-04,0.05,1,0.65,49,1,180,3
1e-04,0.05,1,0.65,49,1,360,1
1e-04,0.05,1,0.65,49,1,360,2
1e-04,0.05,1,0.65,49,1,360,3
1e-04,0.05,1,0.65,49,1,540,1
1e-04,0.05,1,0.65,49,1,540,2
1e-04,0.05,1,0.65,49,1,540,3
1e-04,0.05,1,0.65,49,0.75,180,1
1e-04,0.05,1,0.65,49,0.75,180,2
1e-04,0.05,1,0.65,49,0.75,180,3
1e-04,0.05,1,0.65,49,0.75,360,1
1e-04,0.05,1,0.65,49,0.75,360,2
1e-04,0.05,1,0.65,49,0.75,360,3
1e-04,0.05,1,0.65,49,0.75,540,1
1e-04,0.05,1,0.65,49,0.75,540,2
1e-04,0.05,1,0.65,49,0.75,540,3
1e-04,0.05,1,0.65,49,0.5,180,1
1e-04,0.05,1,0.65,49,0.5,180,2
1e-04,0.05,1,0.65,49,0.5,180,3
1e-04,0.05,1,0.65,49,0.5,360,1
1e-04,0.05,1,0.65,49,0.5,360,2
1e-04,0.05,1,0.65,49,0.5,360,3
1e-04,0.05,1,0.65,49,0.5,540,1
1e-04,0.05,1,0.65,49,0.5,540,2
1e-04,0.05,1,0.65,49,0.5,540,3
1e-04,0.05,1,0.65,84,1,180,1
1e-04,0.05,1,0.65,84,1,180,2
1e-04,0.05,1,0.65,84,1,180,3
1e-04,0.05,1,0.65,84,1,360,1
1e-04,0.05,1,0.65,84,1,360,2
1e-04,0.05,1,0.65,84,1,360,3
1e-04,0.05,1,0.65,84,1,540,1
1e-04,0.05,1,0.65,84,1,540,2
1e-04,0.05,1,0.65,84,1,540,3
1e-04,0.05,1,0.65,84,0.75,180,1
1e-04,0.05,1,0.65,84,0.75,180,2
1e-04,0.05,1,0.65,84,0.75,180,3
1e-04,0.05,1,0.65,84,0.75,360,1
1e-04,0.05,1,0.65,84,0.75,360,2
1e-04,0.05,1,0.65,84,0.75,360,3
1e-04,0.05,1,0.65,84,0.75,540,1
1e-04,0.05,1,0.65,84,0.75,540,2
1e-04,0.05,1,0.65,84,0.75,540,3
1e-04,0.05,1,0.65,84,0.5,180,1
1e-04,0.05,1,0.65,84,0.5,180,2
1e-04,0.05,1,0.65,84,0.5,180,3
1e-04,0.05,1,0.65,84,0.5,360,1
1e-04,0.05,1,0.65,84,0.5,360,2
1e-04,0.05,1,0.65,84,0.5,360,3
1e-04,0.05,1,0.65,84,0.5,540,1
1e-04,0.05,1,0.65,84,0.5,540,2
1e-04,0.05,1,0.65,84,0.5,540,3
1e-04,0.05,1,0.75,28,1,180,1
1e-04,0.05,1,0.75,28,1,180,2
1e-04,0.05,1,0.75,28,1,180,3
1e-04,0.05,1,0.75,28,1,360,1
1e-04,0.05,1,0.75,28,1,360,2
1e-04,0.05,1,0.75,28,1,360,3
1e-04,0.05,1,0.75,28,1,540,1
1e-04,0.05,1,0.75,28,1,540,2
1e-04,0.05,1,0.75,28,1,540,3
1e-04,0.05,1,0.75,28,0.75,180,1
1e-04,0.05,1,0.75,28,0.75,180,2
1e-04,0.05,1,0.75,28,0.75,180,3
1e-04,0.05,1,0.75,28,0.75,360,1
1e-04,0.05,1,0.75,28,0.75,360,2
1e-04,0.05,1,0.75,28,0.75,360,3
1e-04,0.05,1,0.75,28,0.75,540,1
1e-04,0.05,1,0.75,28,0.75,540,2
1e-04,0.05,1,0.75,28,0.75,540,3
1e-04,0.05,1,0.75,28,0.5,180,1
1e-04,0.05,1,0.75,28,0.5,180,2
1e-04,0.05,1,0.75,28,0.5,180,3
1e-04,0.05,1,0.75,28,0.5,360,1
1e-04,0.05,1,0.75,28,0.5,360,2
1e-04,0.05,1,0.75,28,0.5,360,3
1e-04,0.05,1,0.75,28,0.5,540,1
1e-04,0.05,1,0.75,28,0.5,540,2
1e-04,0.05,1,0.75,28,0.5,540,3
1e-04,0.05,1,0.75,49,1,180,1
1e-04,0.05,1,0.75,49,1,180,2
1e-04,0.05,1,0.75,49,1,180,3
1e-04,0.05,1,0.75,49,1,360,1
1e-04,0.05,1,0.75,49,1,360,2
1e-04,0.05,1,0.75,49,1,360,3
1e-04,0.05,1,0.75,49,1,540,1
1e-04,0.05,1,0.75,49,1,540,2
1e-04,0.05,1,0.75,49,1,540,3
1e-04,0.05,1,0.75,49,0.75,180,1
1e-04,0.05,1,0.75,49,0.75,180,2
1e-04,0.05,1,0.75,49,0.75,180,3
1e-04,0.05,1,0.75,49,0.75,360,1
1e-04,0.05,1,0.75,49,0.75,360,2
1e-04,0.05,1,0.75,49,0.75,360,3
1e-04,0.05,1,0.75,49,0.75,540,1
1e-04,0.05,1,0.75,49,0.75,540,2
1e-04,0.05,1,0.75,49,0.75,540,3
1e-04,0.05,1,0.75,49,0.5,180,1
1e-04,0.05,1,0.75,49,0.5,180,2
1e-04,0.05,1,0.75,49,0.5,180,3
